Metric,Default (0.50),Optimal (0.75)
Threshold,0.5,0.7499999999999999
Overall Accuracy,0.8461538461538461,0.8766025641025641
Normal Accuracy,0.6923076923076923,0.6923076923076923
Pneumonia Accuracy,0.9871794871794872,0.9871794871794872
Balanced Accuracy,0.8397435897435898,0.8397435897435898
Precision,0.8049792531120332,0.8424507658643327
Recall,0.9948717948717949,0.9871794871794872
F1-Score,0.8899082568807339,0.9090909090909091
